source_node,destination_node,travel_time,distance,capacity,speed_limit
CST,Marine Lines,30,6,200,50 km/h
Mumbra,Kalwa,10,1,220,60 km/h
Bhayandar,Vasai,45,5,200,60 km/h
Sion,Dadar,5,10,220,60 km/h
Vikhroli,Bhandup,15,12,180,40 km/h
Grant Road,Marine Drive,45,1,170,40 km/h
Kurla,Ghatkopar,50,14,210,40 km/h
Prabhadevi,Elphinstone,22,14,200,40 km/h
Marine Lines,Charni Road,12,4,250,40 km/h
Dombivli,Kalyan,10,7,150,50 km/h
Pedder Road,Worli,45,1,250,40 km/h
Marine Lines,Charni Road,22,1,150,40 km/h
Sanpada,Vashi,10,16,250,50 km/h
Dombivli,Kalyan,12,16,180,50 km/h
Parel,Lower Parel,30,20,170,40 km/h
Charni Road,Grant Road,20,14,150,60 km/h
Panvel,Kharghar,30,16,160,40 km/h
Marine Lines,Charni Road,12,10,220,50 km/h
Mumbra,Kalwa,6,8,220,50 km/h
Kalyan,Ulhasnagar,18,6,250,60 km/h
Vasai,Nalasopara,15,10,210,50 km/h
Mumbra,Kalwa,45,1,190,60 km/h
Lower Parel,Worli,22,20,250,50 km/h
Belapur,Nerul,6,7,250,40 km/h
Cuffe Parade,Churchgate,10,7,220,40 km/h
Ulhasnagar,Ambernath,8,14,250,50 km/h
Elphinstone,Currey Road,18,6,230,40 km/h
Chembur,Sion,30,18,190,50 km/h
Churchgate,CST,40,4,220,40 km/h
Diva,Dombivli,45,2,160,60 km/h
Haji Ali,Pedder Road,6,2,210,50 km/h
Matunga,King's Circle,12,9,230,60 km/h
Diva,Dombivli,12,12,250,60 km/h
Prabhadevi,Elphinstone,45,1,210,60 km/h
Vangani,Shedung,10,9,210,60 km/h
Belapur,Nerul,35,9,220,40 km/h
Colaba,Cuffe Parade,45,18,210,60 km/h
Dadar,Prabhadevi,10,2,180,60 km/h
Chembur,Sion,22,1,150,40 km/h
Vikhroli,Bhandup,20,20,250,50 km/h
Thane,Kopri,40,7,210,60 km/h
Kharghar,Belapur,40,8,250,40 km/h
Belapur,Nerul,12,1,180,40 km/h
Marine Drive,Haji Ali,10,8,210,40 km/h
Prabhadevi,Elphinstone,18,2,160,50 km/h
Sanpada,Vashi,25,6,150,50 km/h
Diva,Dombivli,8,16,160,50 km/h
Dadar,Matunga,20,16,160,40 km/h
Mazgaon,Byculla,35,7,250,50 km/h
Haji Ali,Pedder Road,20,14,230,40 km/h
Bhayandar,Vasai,25,7,230,40 km/h
Govandi,Chembur,22,14,230,40 km/h
Lower Parel,Worli,25,7,170,60 km/h
Vashi,Mankhurd,35,9,230,60 km/h
Mumbra,Kalwa,12,16,230,40 km/h
Govandi,Chembur,25,8,160,60 km/h
Nerul,Sanpada,35,9,170,40 km/h
Dadar,Prabhadevi,6,4,220,40 km/h
Colaba,Cuffe Parade,8,1,150,60 km/h
Matunga,King's Circle,50,1,230,50 km/h
Ghatkopar,Vikhroli,10,10,170,50 km/h
Dockyard Road,Mazgaon,6,12,210,60 km/h
Kalyan,Ulhasnagar,35,18,220,50 km/h
Parel,Lower Parel,22,4,220,60 km/h
Ulhasnagar,Ambernath,30,9,190,40 km/h
Govandi,Chembur,18,2,200,60 km/h
CST,Marine Lines,5,3,190,60 km/h
Badlapur,Vangani,15,3,200,40 km/h
Mira Road,Bhayandar,50,20,210,60 km/h
Marine Lines,Charni Road,30,12,200,60 km/h
Kurla,Ghatkopar,20,1,220,50 km/h
Mira Road,Bhayandar,40,9,220,50 km/h
Belapur,Nerul,50,2,150,60 km/h
Ulhasnagar,Ambernath,10,6,170,60 km/h
Bhandup,Mulund,5,9,200,40 km/h
Pedder Road,Worli,8,20,200,60 km/h
Thane,Kopri,25,8,150,60 km/h
Thane,Kopri,25,20,200,50 km/h
Dadar,Prabhadevi,10,10,160,50 km/h
Sandhurst Road,Dockyard Road,10,6,160,50 km/h
Sion,Kurla,22,9,150,50 km/h
Nerul,Sanpada,8,8,200,60 km/h
Kharghar,Belapur,50,5,220,40 km/h
Kalwa,Diva,6,4,190,60 km/h
Mulund,Thane,25,5,210,60 km/h
Bhayandar,Vasai,40,16,150,40 km/h
Ghatkopar,Vikhroli,6,12,170,40 km/h
Cuffe Parade,Churchgate,30,14,200,50 km/h
Vikhroli,Bhandup,50,3,190,40 km/h
Nalasopara,Virar,35,6,210,50 km/h
Badlapur,Vangani,12,10,220,40 km/h
Govandi,Chembur,18,18,180,60 km/h
Kopri,Mumbra,15,8,220,50 km/h
Sandhurst Road,Dockyard Road,18,16,200,50 km/h
Sanpada,Vashi,5,10,180,60 km/h
Dadar,Matunga,18,1,250,50 km/h
Elphinstone,Currey Road,30,6,230,60 km/h
Ambernath,Badlapur,35,10,220,50 km/h
Kalwa,Diva,6,4,150,60 km/h
Ambernath,Badlapur,25,5,210,40 km/h
Vikhroli,Bhandup,45,18,250,50 km/h
Ghatkopar,Vikhroli,50,9,200,40 km/h
Kalwa,Diva,50,4,160,40 km/h
Grant Road,Marine Drive,50,4,200,60 km/h
Ambernath,Badlapur,6,5,190,60 km/h
Marine Drive,Haji Ali,30,12,220,50 km/h
Mira Road,Bhayandar,5,5,220,40 km/h
Mankhurd,Govandi,30,9,250,50 km/h
Dadar,Matunga,50,20,200,60 km/h
Chembur,Sion,15,4,210,60 km/h
Charni Road,Grant Road,8,10,160,40 km/h
Mazgaon,Byculla,5,12,250,50 km/h
Mankhurd,Govandi,20,18,160,60 km/h
Dahisar,Mira Road,30,20,200,40 km/h
Byculla,Parel,18,5,170,40 km/h
Ambernath,Badlapur,5,16,180,50 km/h
Vasai,Nalasopara,30,2,190,50 km/h
Charni Road,Grant Road,45,8,220,60 km/h
Thane,Kopri,50,9,250,50 km/h
Lower Parel,Worli,30,4,220,50 km/h
Kurla,Ghatkopar,20,12,180,40 km/h
Sandhurst Road,Dockyard Road,6,3,180,50 km/h
Prabhadevi,Elphinstone,30,10,200,60 km/h
Mazgaon,Byculla,25,16,210,60 km/h
Grant Road,Marine Drive,50,8,190,40 km/h
Elphinstone,Currey Road,5,12,170,60 km/h
Thane,Kopri,22,9,210,40 km/h
Sandhurst Road,Dockyard Road,45,12,160,50 km/h
Sion,Kurla,20,14,210,40 km/h
Bhayandar,Vasai,25,3,160,50 km/h
CST,Marine Lines,50,12,160,40 km/h
Lower Parel,Dadar,30,4,180,50 km/h
Marine Drive,Haji Ali,15,6,180,50 km/h
Nalasopara,Virar,22,3,180,50 km/h
Grant Road,Marine Drive,18,16,250,50 km/h
Pedder Road,Worli,22,20,230,40 km/h
Sion,Dadar,35,2,210,60 km/h
Currey Road,Chinchpokli,20,4,160,40 km/h
Pedder Road,Worli,12,3,190,60 km/h
Diva,Dombivli,8,10,170,40 km/h
Dadar,Matunga,25,12,150,50 km/h
Panvel,Kharghar,20,16,170,40 km/h
Marine Lines,Charni Road,10,14,200,60 km/h
Ulhasnagar,Ambernath,45,2,220,50 km/h
Vashi,Mankhurd,15,9,230,40 km/h
Vangani,Shedung,20,4,230,60 km/h
Diva,Dombivli,45,2,250,50 km/h
Byculla,Parel,5,5,180,60 km/h
Chembur,Sion,45,4,170,60 km/h
Diva,Dombivli,25,2,200,40 km/h
Bhandup,Mulund,6,6,170,50 km/h
Matunga,King's Circle,20,16,170,60 km/h
Pedder Road,Worli,12,6,150,50 km/h
Byculla,Parel,25,16,190,40 km/h
Worli,Lower Parel,12,20,180,40 km/h
Mankhurd,Govandi,35,10,180,50 km/h
Mumbra,Kalwa,40,9,150,50 km/h
Ulhasnagar,Ambernath,40,1,250,60 km/h
Belapur,Nerul,22,18,210,40 km/h
Diva,Dombivli,15,5,220,50 km/h
Mumbra,Kalwa,20,3,170,40 km/h
Mira Road,Bhayandar,5,10,220,40 km/h
Mulund,Thane,50,3,160,40 km/h
Ambernath,Badlapur,25,5,160,50 km/h
Vikhroli,Bhandup,5,10,170,40 km/h
Mira Road,Bhayandar,5,7,170,50 km/h
Prabhadevi,Elphinstone,25,1,170,50 km/h
Prabhadevi,Elphinstone,30,18,250,40 km/h
Kharghar,Belapur,15,16,220,40 km/h
Grant Road,Marine Drive,40,9,180,50 km/h
Matunga,King's Circle,5,20,200,60 km/h
Belapur,Nerul,5,20,160,60 km/h
Marine Drive,Haji Ali,12,1,180,40 km/h
Ghatkopar,Vikhroli,5,1,170,50 km/h
Kopri,Mumbra,35,9,200,40 km/h
Dahisar,Mira Road,18,5,160,60 km/h
Pedder Road,Worli,12,20,230,40 km/h
Sanpada,Vashi,50,6,250,60 km/h
Shedung,Panvel,12,4,160,40 km/h
Mumbra,Kalwa,10,2,150,40 km/h
Nalasopara,Virar,12,4,230,40 km/h
Dockyard Road,Mazgaon,5,10,150,60 km/h
Panvel,Kharghar,50,2,170,60 km/h
Mankhurd,Govandi,8,8,200,60 km/h
Ambernath,Badlapur,20,7,190,40 km/h
Marine Lines,Charni Road,10,4,230,40 km/h
Panvel,Kharghar,8,1,180,40 km/h
Mira Road,Bhayandar,5,6,180,40 km/h
Ghatkopar,Vikhroli,15,3,170,50 km/h
Vangani,Shedung,5,12,210,60 km/h
Marine Drive,Haji Ali,30,20,210,60 km/h
Prabhadevi,Elphinstone,15,16,160,40 km/h
Dahisar,Mira Road,45,2,210,40 km/h
Lower Parel,Worli,25,4,230,40 km/h
Vasai,Nalasopara,20,16,210,50 km/h
Vashi,Mankhurd,40,12,170,60 km/h
Vangani,Shedung,30,10,190,40 km/h
Pedder Road,Worli,40,16,170,50 km/h
Nalasopara,Virar,40,9,190,50 km/h
Pedder Road,Worli,35,14,150,60 km/h
Ghatkopar,Vikhroli,35,1,180,40 km/h
Currey Road,Chinchpokli,22,16,250,50 km/h
Ambernath,Badlapur,18,3,220,40 km/h
CST,Marine Lines,6,9,180,60 km/h
Vikhroli,Bhandup,50,9,190,50 km/h
Ghatkopar,Vikhroli,12,10,170,40 km/h
Vikhroli,Bhandup,18,5,160,40 km/h
Kopri,Mumbra,30,1,180,40 km/h
Charni Road,Grant Road,35,12,180,40 km/h
Pedder Road,Worli,20,1,190,40 km/h
Diva,Dombivli,45,1,160,50 km/h
Sion,Dadar,12,10,190,50 km/h
Diva,Dombivli,50,14,180,50 km/h
Mankhurd,Govandi,20,5,180,50 km/h
Lower Parel,Dadar,35,3,250,50 km/h
Dockyard Road,Mazgaon,6,9,200,60 km/h
King's Circle,Sion,35,8,200,50 km/h
Sanpada,Vashi,45,7,190,40 km/h
Parel,Lower Parel,6,20,210,50 km/h
Churchgate,CST,6,9,220,60 km/h
Colaba,Cuffe Parade,5,5,170,50 km/h
Nerul,Sanpada,22,3,200,40 km/h
Lower Parel,Dadar,35,7,210,60 km/h
Kharghar,Belapur,25,10,180,50 km/h
King's Circle,Sion,50,14,180,60 km/h
Currey Road,Chinchpokli,8,1,230,60 km/h
Matunga,King's Circle,20,1,180,60 km/h
Nerul,Sanpada,50,12,190,40 km/h
Mulund,Thane,8,16,200,40 km/h
Chembur,Sion,50,7,250,40 km/h
Haji Ali,Pedder Road,22,9,170,40 km/h
Sion,Dadar,18,6,250,50 km/h
Grant Road,Marine Drive,6,12,160,40 km/h
Vikhroli,Bhandup,6,7,160,40 km/h
Dombivli,Kalyan,25,3,170,40 km/h
Kalyan,Ulhasnagar,25,16,160,50 km/h
Kalwa,Diva,18,16,200,40 km/h
Pedder Road,Worli,25,5,180,60 km/h
Chinchpokli,Sandhurst Road,15,20,150,50 km/h
Ghatkopar,Vikhroli,18,10,190,50 km/h
Chembur,Sion,6,16,150,50 km/h
Vashi,Mankhurd,15,20,170,60 km/h
Vangani,Shedung,35,16,150,50 km/h
Belapur,Nerul,45,9,200,50 km/h
Badlapur,Vangani,8,1,220,40 km/h
Kalyan,Ulhasnagar,12,18,170,40 km/h
Govandi,Chembur,8,18,150,50 km/h
Sandhurst Road,Dockyard Road,18,2,210,50 km/h
Worli,Lower Parel,10,8,190,50 km/h
Panvel,Kharghar,35,18,200,60 km/h
Bhayandar,Vasai,15,4,210,50 km/h
Sion,Dadar,15,16,170,60 km/h
Dockyard Road,Mazgaon,40,7,230,60 km/h
Haji Ali,Pedder Road,20,3,230,40 km/h
Govandi,Chembur,10,7,230,50 km/h
Bhayandar,Vasai,5,4,250,60 km/h
CST,Marine Lines,25,1,250,60 km/h
Lower Parel,Worli,25,1,150,60 km/h
King's Circle,Sion,18,18,220,40 km/h
Ghatkopar,Vikhroli,35,4,250,50 km/h
Nalasopara,Virar,50,5,170,40 km/h
Cuffe Parade,Churchgate,12,20,200,40 km/h
Prabhadevi,Elphinstone,5,20,220,50 km/h
Haji Ali,Pedder Road,45,6,170,60 km/h
Lower Parel,Worli,6,18,170,60 km/h
Lower Parel,Dadar,15,7,210,60 km/h
Mankhurd,Govandi,22,2,230,60 km/h
Mankhurd,Govandi,30,5,230,60 km/h
Bhandup,Mulund,12,5,170,50 km/h
Ulhasnagar,Ambernath,22,8,250,50 km/h
Mankhurd,Govandi,12,6,220,60 km/h
Vangani,Shedung,6,6,150,40 km/h
Elphinstone,Currey Road,22,2,170,40 km/h
King's Circle,Sion,5,6,210,50 km/h
Mumbra,Kalwa,15,2,150,60 km/h
Sion,Dadar,20,1,250,50 km/h
Dombivli,Kalyan,20,8,220,50 km/h
Dadar,Prabhadevi,15,12,200,40 km/h
Kopri,Mumbra,8,3,210,60 km/h
Matunga,King's Circle,45,5,230,60 km/h
Worli,Lower Parel,22,20,210,40 km/h
CST,Marine Lines,6,10,250,40 km/h
Vangani,Shedung,8,4,230,60 km/h
Sion,Kurla,15,3,150,40 km/h
Shedung,Panvel,10,10,210,50 km/h
Nalasopara,Virar,6,12,160,60 km/h
Sion,Kurla,10,2,220,50 km/h
Lower Parel,Dadar,50,4,210,40 km/h
Prabhadevi,Elphinstone,35,12,150,60 km/h
Diva,Dombivli,8,4,160,60 km/h
Dadar,Matunga,22,12,180,50 km/h
Kurla,Ghatkopar,50,12,250,40 km/h
Ambernath,Badlapur,8,18,210,40 km/h
Diva,Dombivli,22,7,220,50 km/h
Govandi,Chembur,25,10,200,50 km/h
Sion,Kurla,12,18,220,60 km/h
Dombivli,Kalyan,40,3,170,60 km/h
Kurla,Ghatkopar,18,20,180,50 km/h
Grant Road,Marine Drive,6,3,180,60 km/h
Dahisar,Mira Road,45,5,180,40 km/h
Dockyard Road,Mazgaon,50,6,170,60 km/h
Sion,Kurla,6,6,180,40 km/h
Kharghar,Belapur,35,8,230,50 km/h
Shedung,Panvel,40,20,230,50 km/h
Dockyard Road,Mazgaon,15,9,210,50 km/h
Lower Parel,Worli,12,5,210,50 km/h
Mazgaon,Byculla,5,2,150,40 km/h
Mumbra,Kalwa,12,7,190,40 km/h
Nerul,Sanpada,35,4,170,40 km/h
Parel,Lower Parel,20,20,230,60 km/h
Bhayandar,Vasai,18,10,210,50 km/h
Dadar,Prabhadevi,30,3,250,50 km/h
Thane,Kopri,25,3,220,50 km/h
Kalyan,Ulhasnagar,10,12,210,50 km/h
Colaba,Cuffe Parade,50,4,160,60 km/h
Badlapur,Vangani,5,2,200,50 km/h
Haji Ali,Pedder Road,10,18,200,40 km/h
Panvel,Kharghar,10,5,210,40 km/h
Grant Road,Marine Drive,15,4,220,40 km/h
Kopri,Mumbra,5,6,170,50 km/h
Marine Lines,Charni Road,25,20,190,60 km/h
Marine Lines,Charni Road,8,18,170,40 km/h
Matunga,King's Circle,25,20,250,60 km/h
Ambernath,Badlapur,50,5,220,50 km/h
Cuffe Parade,Churchgate,30,20,250,50 km/h
Nalasopara,Virar,35,9,200,50 km/h
Vasai,Nalasopara,45,1,250,40 km/h
Bhayandar,Vasai,40,16,160,40 km/h
Ambernath,Badlapur,50,7,220,60 km/h
Kalyan,Ulhasnagar,6,14,150,50 km/h
Shedung,Panvel,20,3,200,50 km/h
Bhandup,Mulund,15,5,230,50 km/h
Bhayandar,Vasai,45,3,220,60 km/h
CST,Marine Lines,10,14,250,40 km/h
Dadar,Prabhadevi,25,12,210,60 km/h
Badlapur,Vangani,10,2,220,60 km/h
Grant Road,Marine Drive,30,10,160,40 km/h
Byculla,Parel,30,9,220,50 km/h
Kharghar,Belapur,5,7,250,50 km/h
Byculla,Parel,6,14,220,50 km/h
Belapur,Nerul,18,6,210,40 km/h
Lower Parel,Dadar,10,8,150,60 km/h
Sion,Kurla,40,14,220,50 km/h
Colaba,Cuffe Parade,20,3,200,40 km/h
Nalasopara,Virar,45,4,170,40 km/h
Kopri,Mumbra,12,12,200,60 km/h
Sion,Dadar,10,3,180,40 km/h
Sandhurst Road,Dockyard Road,8,4,230,50 km/h
Chembur,Sion,22,4,200,50 km/h
Ulhasnagar,Ambernath,30,9,150,60 km/h
Sion,Dadar,30,5,190,40 km/h
Mankhurd,Govandi,15,20,220,60 km/h
Mankhurd,Govandi,5,12,170,40 km/h
Haji Ali,Pedder Road,22,9,230,40 km/h
Churchgate,CST,20,4,160,60 km/h
Kurla,Ghatkopar,35,1,150,40 km/h
Diva,Dombivli,50,3,200,60 km/h
Bhayandar,Vasai,12,6,160,50 km/h
Grant Road,Marine Drive,22,4,220,50 km/h
Vashi,Mankhurd,40,1,180,60 km/h
Dadar,Prabhadevi,40,18,190,60 km/h
Dockyard Road,Mazgaon,35,16,160,50 km/h
Shedung,Panvel,30,3,150,50 km/h
Dombivli,Kalyan,15,9,180,50 km/h
Sanpada,Vashi,25,3,160,40 km/h
Prabhadevi,Elphinstone,45,12,250,50 km/h
Badlapur,Vangani,10,6,230,50 km/h
Kurla,Ghatkopar,10,16,250,50 km/h
CST,Marine Lines,8,9,250,40 km/h
Elphinstone,Currey Road,45,8,170,40 km/h
Dahisar,Mira Road,10,9,190,40 km/h
Kharghar,Belapur,8,7,230,40 km/h
Vashi,Mankhurd,10,12,210,50 km/h
Thane,Kopri,5,3,180,60 km/h
Mankhurd,Govandi,15,5,210,50 km/h
Haji Ali,Pedder Road,12,7,180,60 km/h
Mankhurd,Govandi,22,9,230,60 km/h
Cuffe Parade,Churchgate,22,12,250,60 km/h
King's Circle,Sion,25,10,150,60 km/h
Kurla,Ghatkopar,25,7,200,40 km/h
Sandhurst Road,Dockyard Road,10,8,170,50 km/h
Vasai,Nalasopara,50,8,250,50 km/h
Thane,Kopri,6,1,200,40 km/h
Worli,Lower Parel,12,16,190,50 km/h
Byculla,Parel,10,5,180,50 km/h
Haji Ali,Pedder Road,12,14,160,60 km/h
Kalwa,Diva,18,6,180,40 km/h
Belapur,Nerul,5,10,220,50 km/h
Mankhurd,Govandi,6,9,190,40 km/h
Ulhasnagar,Ambernath,40,7,200,50 km/h
Elphinstone,Currey Road,35,10,150,50 km/h
Lower Parel,Worli,35,4,160,40 km/h
Kalyan,Ulhasnagar,18,6,150,50 km/h
Cuffe Parade,Churchgate,6,3,150,60 km/h
Prabhadevi,Elphinstone,20,7,150,50 km/h
King's Circle,Sion,40,16,210,50 km/h
Ambernath,Badlapur,40,12,150,60 km/h
Sion,Dadar,5,1,160,40 km/h
Churchgate,CST,30,7,210,60 km/h
Worli,Lower Parel,40,7,200,60 km/h
Pedder Road,Worli,12,14,160,40 km/h
Ulhasnagar,Ambernath,50,10,160,60 km/h
Mira Road,Bhayandar,20,4,210,60 km/h
Bhayandar,Vasai,35,20,220,60 km/h
Nerul,Sanpada,12,12,150,50 km/h
Belapur,Nerul,25,6,200,50 km/h
Mumbra,Kalwa,15,6,150,60 km/h
Dockyard Road,Mazgaon,18,18,220,40 km/h
Dombivli,Kalyan,6,14,150,60 km/h
Mumbra,Kalwa,6,4,190,40 km/h
Prabhadevi,Elphinstone,12,1,220,40 km/h
Lower Parel,Worli,8,4,230,40 km/h
Belapur,Nerul,35,20,250,50 km/h
King's Circle,Sion,6,4,210,40 km/h
Haji Ali,Pedder Road,45,20,200,60 km/h
Kalyan,Ulhasnagar,35,18,250,60 km/h
Kalwa,Diva,5,4,160,40 km/h
Ambernath,Badlapur,20,6,180,40 km/h
Diva,Dombivli,10,7,250,50 km/h
Kopri,Mumbra,8,16,190,40 km/h
Sanpada,Vashi,8,4,190,60 km/h
Mumbra,Kalwa,45,7,250,40 km/h
Mumbra,Kalwa,22,12,220,60 km/h
Diva,Dombivli,22,12,150,50 km/h
Sanpada,Vashi,25,9,160,60 km/h
Ulhasnagar,Ambernath,8,3,160,40 km/h
Sanpada,Vashi,45,18,150,40 km/h
Mulund,Thane,20,2,150,60 km/h
Dahisar,Mira Road,6,12,200,60 km/h
Bhayandar,Vasai,35,2,170,50 km/h
Sion,Dadar,50,14,160,50 km/h
Kurla,Ghatkopar,20,16,250,60 km/h
Diva,Dombivli,45,18,250,50 km/h
Sion,Kurla,22,9,220,60 km/h
Diva,Dombivli,5,3,210,40 km/h
Sion,Kurla,8,6,180,50 km/h
Marine Drive,Haji Ali,30,12,170,60 km/h
Belapur,Nerul,35,12,210,50 km/h
Bhayandar,Vasai,30,18,210,40 km/h
Byculla,Parel,45,20,250,60 km/h
Bhayandar,Vasai,25,3,230,50 km/h
Ghatkopar,Vikhroli,30,2,160,40 km/h
Ulhasnagar,Ambernath,12,12,200,60 km/h
Haji Ali,Pedder Road,45,3,190,50 km/h
Grant Road,Marine Drive,18,4,210,50 km/h
Matunga,King's Circle,5,1,250,40 km/h
Colaba,Cuffe Parade,22,16,250,50 km/h
Byculla,Parel,8,10,150,40 km/h
Currey Road,Chinchpokli,22,3,200,40 km/h
Dahisar,Mira Road,50,14,150,60 km/h
Sion,Kurla,15,16,170,60 km/h
Kharghar,Belapur,35,9,160,50 km/h
Currey Road,Chinchpokli,22,18,250,50 km/h
Ulhasnagar,Ambernath,35,20,200,60 km/h
Sanpada,Vashi,35,10,150,40 km/h
Vangani,Shedung,10,1,220,40 km/h
Marine Lines,Charni Road,5,1,250,60 km/h
Pedder Road,Worli,22,14,200,40 km/h
Govandi,Chembur,10,9,150,60 km/h
Chinchpokli,Sandhurst Road,5,2,180,60 km/h
Vashi,Mankhurd,40,20,210,50 km/h
Marine Drive,Haji Ali,15,9,230,50 km/h
Sandhurst Road,Dockyard Road,22,9,220,60 km/h
Ulhasnagar,Ambernath,12,1,230,40 km/h
Haji Ali,Pedder Road,30,18,160,60 km/h
Colaba,Cuffe Parade,6,20,200,50 km/h
Badlapur,Vangani,5,16,180,50 km/h
